# Code generated by scripts/generate_iam_mappings.go; DO NOT EDIT.
# Source: https://servicereference.us-east-1.amazonaws.com/v1/service-list.json
# Services: 452
accessanalyzer:UpdateFindings	access-analyzer:UpdateFindings
accessanalyzer:ValidatePolicy	access-analyzer:ValidatePolicy
account:AcceptPrimaryEmailUpdate	account:AcceptPrimaryEmailUpdate,iam:UpdateAccountEmailAddress
account:DeleteAlternateContact	account:DeleteAlternateContact
account:DisableRegion	account:DisableRegion
account:EnableRegion	account:EnableRegion
account:GetAccountInformation	account:GetAccountInformation
account:GetAlternateContact	account:GetAlternateContact
account:GetContactInformation	account:GetContactInformation
account:GetGovCloudAccountInformation	account:GetGovCloudAccountInformation
account:GetPrimaryEmail	account:GetPrimaryEmail
account:GetRegionOptStatus	account:GetRegionOptStatus
account:ListRegions	account:ListRegions
account:PutAccountName	account:PutAccountName,iam:UpdateAccountName
account:PutAlternateContact	account:PutAlternateContact
account:PutContactInformation	account:PutContactInformation
account:StartPrimaryEmailUpdate	account:StartPrimaryEmailUpdate,iam:UpdateAccountEmailAddress
acm-pca:CreateCertificateAuthority	acm-pca:CreateCertificateAuthority,acm-pca:TagCertificateAuthority
acm-pca:CreateCertificateAuthorityAuditReport	acm-pca:CreateCertificateAuthorityAuditReport
acm-pca:CreatePermission	acm-pca:CreatePermission
acm-pca:DeleteCertificateAuthority	acm-pca:DeleteCertificateAuthority
acm-pca:DeletePermission	acm-pca:DeletePermission
acm-pca:DeletePolicy	acm-pca:DeletePolicy
acm-pca:DescribeCertificateAuthority	acm-pca:DescribeCertificateAuthority
acm-pca:DescribeCertificateAuthorityAuditReport	acm-pca:DescribeCertificateAuthorityAuditReport
acm-pca:GetCertificate	acm-pca:GetCertificate
acm-pca:GetCertificateAuthorityCertificate	acm-pca:GetCertificateAuthorityCertificate
acm-pca:GetCertificateAuthorityCsr	acm-pca:GetCertificateAuthorityCsr
acm-pca:GetPolicy	acm-pca:GetPolicy
acm-pca:ImportCertificateAuthorityCertificate	acm-pca:ImportCertificateAuthorityCertificate
acm-pca:IssueCertificate	acm-pca:IssueCertificate
acm-pca:ListCertificateAuthorities	acm-pca:ListCertificateAuthorities
acm-pca:ListPermissions	acm-pca:ListPermissions
acm-pca:ListTags	acm-pca:ListTags
acm-pca:PutPolicy	acm-pca:PutPolicy
acm-pca:RestoreCertificateAuthority	acm-pca:RestoreCertificateAuthority
acm-pca:RevokeCertificate	acm-pca:RevokeCertificate
acm-pca:TagCertificateAuthority	acm-pca:TagCertificateAuthority
acm-pca:UntagCertificateAuthority	acm-pca:UntagCertificateAuthority
acm-pca:UpdateCertificateAuthority	acm-pca:UpdateCertificateAuthority
acm:AddTagsToCertificate	acm:AddTagsToCertificate
acm:DeleteCertificate	acm:DeleteCertificate
acm:DescribeCertificate	acm:DescribeCertificate
acm:ExportCertificate	acm:ExportCertificate
acm:GetAccountConfiguration	acm:GetAccountConfiguration
acm:GetCertificate	acm:GetCertificate
acm:ImportCertificate	acm:AddTagsToCertificate,acm:ImportCertificate
acm:ListCertificates	acm:ListCertificates
acm:ListTagsForCertificate	acm:ListTagsForCertificate
